0,1,2,title
-0.5081542167381559,0.7840712755478433,0.22389061145994035,#1
0.15361448673153474,-0.1664651030051505,-0.47420956150231147,#1 Serial Killer
0.8351068076303195,0.5053844134509606,0.5194847422910096,#54 Meets #47
0.2214736550226033,-0.1413301582734432,-0.76830482644979,#Hommes: True Story of the Thieves' World
-0.679249476999289,-0.17035709519177478,-0.03770833783916711,#Horror
0.6640122122550917,-0.46382823864600425,0.254565145874299,#Lucky Number
0.8362818169334612,0.496968402182618,0.5162198078398744,#OMGIMTRENDING
-0.5070086819181974,0.801975533288304,0.22660762982431726,#Vengeance Is Mine
0.3270340483795834,0.8072193856299895,-0.21095132095663363,#WEARESUPERIOR
-0.5054659802995785,0.771465938712367,0.21795980353624195,#Yolo
-0.5064952133083149,0.7918025914870359,0.22372445127745394,#nightslikethese
0.32677041636582943,0.7718815567491688,-0.21860977782620683,$1.11
-0.6811848396069453,-0.16714873261030125,-0.03476428014579597,$6 Man
-0.5095210163363852,0.6905629997597141,0.0678314448767585,$lowdown
-0.0701577878545548,0.3286459689071071,1.2498375361141223,& Juan
0.32743852520243183,0.758830634294627,-0.22231113084808118,& Teller
0.3272920333636509,0.761737599396352,-0.22148725980092118,& Teller 2
-0.7531682780794844,-0.3244730769842809,0.26210296964820223,'76
0.8385722646324476,0.45691930595988267,0.5045711418548341,'92 Skybox Alonzo Mourning Rookie Card
0.6559945148306882,-0.5977864915351352,0.09705520795771011,'Crocodile' Dundee II
-0.7000997734709777,-0.15990041373060465,-0.011227929842093502,'G' Men
-0.6975744554454691,-0.1696957464058144,-0.016351563032233448,'Gung Ho!': The Story of Carlson's Makin Island Raiders
-0.6822828700069092,-0.13590338456535545,-0.026412303405062086,'Master Harold' ... And the Boys
0.1459062623830594,-0.22492897881993543,-0.4784275029573489,'Necromania': A Tale of Weird Love!
-0.7703643189054397,-0.3670129901544937,0.2724077091074889,'Northwest Passage' (Book I -- Rogers' Rangers)
0.8361322873449555,0.475147810269343,0.5115014465582444,'Queens'land
-0.6841201079968781,-0.08259414818899041,-0.012287054153983937,'Til Morning
0.5888254521681254,-0.6887978105967768,0.5398668131873738,'Til There Was You
0.3264804116901959,0.7727630906550957,-0.21806794200348106,'Tis the Season
-0.24683813466930257,-0.606715470628728,0.9983414264403871,(500) Days of Summer
-0.6835564630002151,-0.11407375942974214,-0.020030087484286672,(Menya zdes net)
0.836736184735424,0.48829818422205484,0.5137582966495975,(Terep)Szemle 2.
0.3950630196998513,0.758701906508541,-0.5218203336419441,(This Is Known as) The Blues Scale
0.836149419290965,0.4949807223503622,0.5159453227228336,(sarah)
0.15123549563503416,-0.1497330488538263,-0.4676995386689223,... Just a Job
-0.6837389880668473,-0.11625020908155227,-0.020340458439241774,...Around
-0.6820568184602814,-0.13987730586458838,-0.02760816208842354,...Be yom hashlishi
0.14574748360611833,-0.17264298849127244,-0.4665203978590018,...E tu vivrai nel terrore! L'aldil
0.21994104843811546,-0.15521145531187638,-0.7696159023806756,...More Than 1000 Words
0.6614107078613819,-0.44759662382160464,0.2612098882932478,"...and on the 7th Day, God Rocked"
-0.6824734740604105,-0.267072739518816,-0.19234354704909,.357
-0.6831323795241011,-0.13982724563516907,-0.026336052017168238,.45
0.15352381421796124,-0.22160442831138097,-0.48650268154202225,.com for Murder
0.3301704587126703,0.7347832577169162,-0.23089021637482476,0 Feet Away
0.1877658821918584,-0.16428469017307812,-0.477424012918403,00 - Zero Zero 3D
0.8369978328958083,0.44282738649280495,0.5032246827044237,008
-0.6816059996926132,-0.14365301820789386,-0.028967568121963376,03:34 Terremoto en Chile
0.1509345084458305,-0.29493127128217544,-0.6366197151640232,07-y menyaet kurs
0.15025467077274585,-0.2515561629611439,-0.6261460311055798,1 - Nenokkadine
0.22191871021344875,-0.18949541572204545,-0.7796286146900172,1 More Hit
-0.6826267745074713,-0.12332819405100842,-0.023201202349951575,1 Out of 7
0.32874130209142055,0.7227255570749395,-0.2319529345562458,"1 Phone, 2 Phone, 3 Phone, 4"
-0.17733496839319496,-0.5533712958694211,0.5451436524627644,1 chance sur 2
-0.17220660382582398,-0.42036203094952534,0.7056133735662622,1 para 1
0.32753265040366153,0.7871089477696971,-0.21606067253636188,"1,001 Movies You Must See (Before You Die)"
0.0028792476536287455,0.5049988623393952,0.9560603525531011,1-0
0.32904943805463444,0.7317936578720524,-0.23026635835245554,1-800-Suicide
0.836360935027281,0.4856475035255,0.513595745957134,1-900-Drinking-Buddy
0.15469268052193086,-0.18371217336401,-0.479325728358556,10 Cent Pistol
-0.5102178960754896,0.8049536941466898,0.2309842939234823,10 Cents a Minute
-0.6824994812345044,-0.11275422729561904,-0.021217308191563502,10 Cloverfield Lane
-0.6821017710322621,-0.11631870011096744,-0.02219740819296853,10 Days in a Madhouse
0.2210342873730377,-0.17207333523577165,-0.774688876546526,10 MPH
0.22022789553004318,-0.16102937199568804,-0.7712656695434097,10 Questions for the Dalai Lama
0.5932234507060479,-0.695339725504801,0.5333289653203404,10 Rules for Sleeping Around
-0.24850242342606593,-0.6215273714364434,0.9973166899523025,10 Things I Hate About You
0.6606755830215195,-0.44297410691898353,0.26310977025205773,10 Tricks
-0.5079031027674723,0.8144132393710345,0.2304315477714352,10 Years Later
-0.6887194416649141,-0.14478826920215543,-0.020986938345450425,10 to Midnight
-0.6846425804522016,-0.27962734138268563,-0.19234387051750595,"10,000 BC"
0.1563101123599127,-0.2155787971040153,-0.4883753836095355,"10,000 Days"
-0.6834832091821151,-0.10564117997712692,-0.018226047996469128,10/10
